Sito,Id_prodotto,Url,Nome,Tipo,Tipo_specifico,Brand,Social,Descrizione,Genere,Colore,Eccentrico,Prezzo,Immagine,Fattore_tecnico,Tecnico,Fattore_ambientale,ecologico,prediction_tecnico
nencini,365569,https://www.nencinisport.it/it/mizuno-hineri-hybbrid-ls-tee.html,Mizuno Hineri Hybbrid Ls Tee,maglia,maglia,mizuno,si,"DESCRIZIONE
  - Tessuto armaturato sulla parte anteriore e sulla spalla per proteggersi dagli agenti atmosferici invernali quali basse temperature e vento - Pannelli traspiranti in tessuto a maglia sulla parte posteriore e sotto il braccio per una migliore termoregolazione e libertà di movimento - Eccellente circolazione dell'aria e ventilazione grazie a due cerniere frontali - Dettagli riflettenti per sicurezza durante le corse notturne
  MATERIALE
  Poliestere 100%
RIDUCI",uomo,nero,no,33,img_365569.jpg,,si,,no,si
sportler,10802441,https://www.sportler.com/it/p/on-waterproof-anorak-giacca-antipioggia-uomo-10802441?filterFarbe=Blue,Waterproof Anorak - giacca antipioggia - uomo,maglia,giacca,on cloud,no,"Waterproof Anorak è la giacca impermeabile di ON da uomo nata per il running, il trail running e lo speedhiking. Massima protezione dalle intemperie in tutta libertà e leggerezza con un ingombro minimo che permette di riporre la giacca facilmente nella tasca di compressione. La sua tripla membrana in poliamide garantisce elevata traspirabilità e resistenza ideale ad acqua e vento nel rispetto dell'ambiente. I materiali di alta qualità, selezionati per garantire performance impeccabili, sono senza PFC e politetrafluoroetilene (PTFE). Ogni dettaglio è stato studiato per regalare il giusto livello di portezione e compertura, senza sacrificare ventilazione e traspirabilità. Il fondo elasitcizzato con retro leggermente più lungo e dal bordo piatto fa scivolare via la pioggia durante la corsa, mente la zip frontale e le aperture su davanti e retro offrono maggiore areazione quando l'attività si fa più intensa.
membrana a tre strati in poliamide altamente impermeabile, traspirante e resistente
finitura idrorepellente senza PTFE e PFC
la fodera allontana velocemente il sudore dalla pelle
zip forontale a mezza lunghezza per maggiore ventilazione al bisogno
aperture di ventilazione sul davanti e sulla schena
costruzione con cuciture laterali avanzate ma la massima libertà di movimento
cappuccio preformato con visiera protettiva e bordo elasticizzato regolabile con cordino/stopper posteriore
fondo elasticizzato per una maggiore protezione
polsini semi elasticizzati per una minore dispersione di calore
retro leggermente più lungo a protezione
elementi riflettenti per una maggiore visibilità anche in caso di scarsa illuminazione
realizzata con materiali selezionati ecosostenibili
vestibilità Relaxed Fit",uomo,blu,no,359.95,img_10802441.jpg,,si,,si,si
nencini,367587,https://www.nencinisport.it/it/nike-wmns-top-ss-swsh-run.html,Nike Wmns Top Ss Swsh Run,maglia,maglia,nike,si,"STRATO INDISPENSABILE.
Perfetto per correre nelle giornate calde, il top Nike è un capo indispensabile per tutti i giorni che si abbina facilmente ad altri capi. Realizzato con tecnologia traspirante, mantiene la pelle asciutta durante la corsa.
  TESSUTO AD ASCIUGATURA RAPIDA
Il tessuto jersey con tecnologia Dri-FIT assicura pelle asciutta, comfort e massima concentrazione.
  AMPIA COPERTURA
Bordo curvo per una maggiore copertura dove serve di più durante la corsa.
  ALTRI VANTAGGI
Questo top fa parte della collezione Swoosh Run e sfoggia uno stile streetwear rimanendo fedele al look da runner.
  DETTAGLI PRODOTTO
Standard fit per un comfort rilassato
Logo Swoosh con design rifrangente sulla parte posteriore del collo
100% poliestere
Lavabile in lavatrice
Prodotto importato
Il prodotto non è da intendersi come dispositivo di protezione individuale (DPI)
RIDUCI",donna,giallo,si,28,img_367587.jpg,,no,,no,no
df sport specialist,98387870,https://www.df-sportspecialist.it/mizuno-scarpe-wave-sky-3-w-j1gd1902-36/,scarpe donna wave sky 3,scarpe,scarpe,mizuno,si,"Per corridori che percorrono tanti chilometri e che mentre corrono vogliono avere la sensazione di fluttuare e un sottopiede incredibilmente ammortizzato., ""Le schiume XPOP Pu e Mizuno Wave si combinano per creare unesperienza di corsa completamente nuova che ti fa sentire come che stessi galleggiando mentre corri. Dotata della calzata AeroHug che dona sicurezza confortevole."", PESO (G): 275, CARATTERISTICHE, ""La combinazione senza precedenti di schiuma XPOP e Mizuno Wave dona unammortizzazione incredibilmente morbida e una sensazione di fluttuazione che soddisfa i bisogni di comfort dei corridori."", UTILIZZO:, Running, TIPOLOGIA:, Scarpe, UTILIZZO:, Asfalto, TIPOLOGIA:, Neutre, TIPOLOGIA:, Calzature, CF: J1GD1902-36""",donna,azzurro,si,105,img_img98387870.jpg,,si,,no,si
decathlon,8488045,https://www.decathlon.it/pantaloncini-uomo-run-dry-id_8488045.html,pantaloncini running uomo run dry+ neri,pantaloni,pantaloncini,kalenji,no,"abbiamo ideato questi pantaloncini 2 in 1 per gli uomini che corrono con tempo caldo.pantaloncini da running 2 in 1 leggeri e traspiranti, con tasca per semplificare le uscite di running (per le chiavi o per lo smartphone).i vantaggi
traspirazione
tessuto traspirante.
tasche
il prodotto ha una tasca per lo smartphone che lo protegge dal sudore.
sostegno
cosciali integrati per un sostegno migliore durante la pratica.
rapidità  di asciugatura
tessuto sintetico che permette un'asciugatura più rapida.informazioni tecniche
traspirabilitãƒâ‚¬
questi pantaloncini permettono di rimanere all'asciutto mentre si corre. il sudore viene assorbito e asciuga rapidamente.
tasche
tasca con zip per lo smartphone (dimensioni massime 78 mm * 160 mm). ideata con un componente impermeabile per proteggere lo smartphone dal sudore del corpo. il passaggio per i cavi degli auricolari si forma chiudendo la zip.
un'etichetta per confrontare l'impatto ambientale dei prodotti
l'impatto ambientale del prodotto viene calcolato sulla totalità  del ciclo di vita del prodotto attraverso indici diversi. per aiutarti a identificare facilmente i prodotti dalle migliori performance ambientali, è stata realizzata una valutazione a-b-c-d-e che pone a confronto tra loro i prodotti di una stessa tipologia (t-shirt, pantaloni, zaini, ecc.).
decathlon è un attore volontario di questo processo di informazione ambientale.
ulteriori info: https://www.youtube.com/watch?v=1f_nfgsms2m",uomo,nero,no,18.39,img_8488045.jpg,,no,,no,no
sportler,10708492,https://www.sportler.com/it/p/nike-element-felpa-con-cappuccio-running-donna-10708492?filterFarbe=Rose,Element - felpa con cappuccio running - donna,maglia,giacca,nike,si,"Felpa con cappuccio running da donna Element di Nike ideale contro il freddo, in morbido tessuto caldo ed elastico, con pratico passamontagna integrato per un'isolazione perfetta.
in tessuto molto caldo e traspirante
tecnologia Dri-FIT per un comfort di lunga durata
cappuccio elastico avvolgente con passamontagna integrato
passamontagna con apertura sul retro per passaggio capelli
collo alto protettivo
cuciture piatte anti-sfregamento
passapollici a fondo manica
spacchetti laterali per maggiore libertà di movimento
taglio più lungo protettivo sul retro
vestibilità Slim Fit",donna,rosa,si,43,img_10708492.jpg,,si,,no,si
sportler,10841022,https://www.sportler.com/it/p/nike-windrunner-running-giacca-running-uomo-10841022?filterFarbe=Grey%2FOrange,Windrunner Running - giacca running - uomo,maglia,giacca,nike,si,"Giacca running da uomo Windrunner Running di Nike ad alte prestazioni, ideale per le tue sessioni di corsa con tempo avverso, molto leggera e traspirante, resiste a vento e acqua.
tessuto woven protettivo da vento e acqua
cappuccio regolabile
collo alto protettivo
zip frontale integrale bidirezionale
maniche raglan per una libertà di movimento ottimale
spacchetti nel giromanica
spacchetto sulla parte posteriore per maggiore traspirazione
tasce con risvolto
altamente comprimibile, nella sacca di compressione (tasca destra)
elementi riflettenti
vestibilità Regular Fit",uomo,grigio,no,80.8,img_10841022.jpg,,si,,no,si
decathlon,8556988,https://www.decathlon.it/t-shirt-donna-kiprun-care-id_8556988.html,t-shirt running donna kiprun care azzurra,maglia,t-shirt,kiprun,no,"le nostre equipe di ideazione hanno sviluppato questa t-shirt senza cuciture per offrirti comfort e leggerezza durante le uscite di running.questa t-shirt leggera e senza cuciture sui lati evita gli sfregamenti durante le uscite di running. la lavorazione performante permette una buona traspirabilità .i vantaggi
traspirazione
tessuto traspirante.
limitazione irritazioni
t-shirt per il running senza cuciture sui lati.
leggerezza
solo 67 grammi la taglia 44.
ventilazione
zone più aerate sul petto, sotto alle braccia e sulla schiena.informazioni tecniche
limitazione delle irritazioni
la lavorazione senza cuciture è realizzata grazie ad una tessitura dei fili tubolare che permette di evitare le cuciture sui lati e garantire un comfort assoluto!
traspirabilitãƒâ‚¬
zone più aerate sotto le ascelle, in alto al petto, sulla schiena e sui lati, per migliorare la traspirabilità  ed avere un'asciugatura più rapida.",donna,nero,no,15.39,img_8556988.jpg,,no,,no,no
sportler,10833069,https://www.sportler.com/it/p/asics-gel-fujitrabuco-8-scarpe-trail-running-donna-10833069?filterFarbe=Green%2FBlack,Gel-FujiTrabuco 8 - scarpe trail running - donna,scarpe,scarpe,asics,si,"La scarpa da trail running da donna Gel FujiTrabuco 8 di Asics offre un supporto e una protezione ottimale in ogni condizione con nuova suola aggressiva specifica per l'off-road con robusti tacchetti multidirezionali e che garantisce protezione e un grip sempre impeccabile su qualsiasi terreno, dalle rocce scivolose allo sterrato.
DUOMAX® Support System nell'intersuola aumenta la stabilità
intersuola con leggera tecnologia FLYTEFOAM® per una maggiore reattività
tecnologia Rearfoot GEL® Cushining System assorbe gli urti per ammortizzando il sottopiede
tomaia completata da sovrapposizioni durevoli per resistere alle abrasioni
Rock Protection Plate protegge dai detriti e dalle sporgenze
suola in gomma ASICSGRIP™ technology per una presa efficace su ogni terreno",donna,verde,si,98,img_10833069.jpg,,si,,no,si
decathlon,8556664,https://www.decathlon.it/t-shirt-uomo-kiprun-light-id_8556664.html,t-shirt running uomo kiprun light grigia,maglia,t-shirt,kiprun,no,"abbiamo sviluppato questa t-shirt traspirante e leggera per le tue uscite di running.basta con le irritazioni per un comfort maggiore! questa t-shirt da running è ideata con un componente innovativo, per dire basta alle irritazioni ai capezzoli.i vantaggi
limitazione irritazioni
componente innovativo che limita le irritazioni ai capezzoli.
traspirazione
t-shirt molto traspirante.
leggerezza
105g la taglia l.informazioni tecniche
limitazione delle irritazioni
quando si corre capita che compaiano irritazioni sul petto, che possono arrivare fino al sanguinamento dei capezzoli.
per questo abbiamo studiato il processo di sfregamento della t-shirt sulla pelle, per creare un tessuto innovativo (brevettato).
traspirabilitãƒâ‚¬
questa t-shirt è stata ideata per lasciare all'asciutto durante tutta la corsa. il sudore viene assorbito e asciuga rapidamente, soprattutto grazie ad una zona più aerata sulla schiena.
comfort
per offrire il massimo comfort e più libertà  di movimento, le nostre equipe di ideazione hanno inserito un nuovo tessuto sulle maniche e sulla schiena.
le cuciture termoincollate sulla schiena e sulle maniche aumentano ancora di più questa sensazione di comfort.
l'assemblaggio delle maniche migliora la libertà  di movimento.



vedi altri",uomo,grigio,no,20.39,img_8556664.jpg,runner di buon livello,si,,no,si
decathlon,8588358,https://www.decathlon.it/t-shirt-uomo-kiprun-care-id_8588358.html,t-shirt maniche lunghe running uomo kiprun care azzurra,maglia,t-shirt,kiprun,no,"le nostre equipe di ideazione hanno sviluppato questa t-shirt maniche lunghe invernale e traspirante per le tue uscite di running con tempo fresco.cerchi comfort per l'inverno? grazie al componente traspirante e all'assenza di cuciture laterali, questa t-shirt maniche lunghe assicura un ottimo comfort con temperatura tra 10 e 20C°.i vantaggi
calore
per proteggersi dal freddo con temperature tra 10 e 20C° .
traspirazione
tessuto traspirante, asciuga in fretta.
ventilazione
zone più aerate sul busto, sotto alle braccia e sulla schiena.
limitazione irritazioni
limitazione delle irritazioni sul busto e sui lati.informazioni tecniche
limitazione delle irritazioni
le nostre equipe di ideazione hanno sviluppato questa t-shirt per limitare le irritazioni:
- sul busto grazie all'impiego di un filo specifico
- sui lati e sulla schiena grazie alla lavorazione ""seamless"" che permette di non avere cuciture.
traspirabilitãƒâ‚¬
grazie a degli studi in laboratorio, abbiamo individuato le zone di maggiore sudorazione ed abbiamo inserito delle micro-aerazioni nel tessuto sul busto, sotto alle braccia e sulla schiena per favorire la traspirabilità  ed avere un'asciugatura rapida.
comfort
la lavorazione senza cuciture è realizzata grazie ad una tessitura dei fili tubolare che permette di evitare le cuciture sui lati e garantire un comfort assoluto!



vedi altri",uomo,nero,no,20.39,img_8588358.jpg,,no,,no,no
df sport specialist,98384140,https://www.df-sportspecialist.it/asics-scarpe-gel-pulse-11-w-1012a467-701/,scarpe gel pulse 11 w,scarpe,scarpe,asics,si,"Sentiti eccitato ogni volta che corri con la scarpa da corsa da donna GEL-PULSE 11 di ASICS. Progettata appositamente per il comfort durante la corsa su strada,  questa scarpa diventerà sicuramente la parte più affidabile del tuo guardaroba. Perfetta per le lunghe distanze, la tomaia in mesh consente allaria di muoversi attraverso la scarpa"", "" raffreddando i piedi e mantenendoli asciutti. Lintersuola AMPLIFOAM offre un comfort ammortizzato ad ogni passo"",  e una suola in gomma stampata significa che la tua presa è migliorata su superfici stradali come pioggia o sole. Inoltre,  la scarpa GEL-PULSE ™  11 è dotata della tecnologia GEL nella parte posteriore per un migliore assorbimento degli urti., ""Unaltra caratteristica di spicco è la soletta ORTHOLITE e la tecnologia GUIDANCE LINE per aumentare la tua naturale andatura."", Quindi,  corri più lontano nel comfort e nel supporto. Allaccia un paio di scarpe da corsa performanti da donna GEL-PULSE ™  11 oggi., Intersuola AMPLIFOAM completa, Suola in gomma normale modellata, Tecnologia GEL nella parte posteriore, Soletta ORTHOLITE, Tecnologia GUIDANCE LINE, UTILIZZO:, Running, TIPOLOGIA:, Scarpe, UTILIZZO:, Asfalto, TIPOLOGIA:, Neutre, CF: 1012A467-701""",donna,rosa,si,69.9,img_img98384140.jpg,,si,,no,si
df sport specialist,98358290,https://www.df-sportspecialist.it/x-bionic-maglia-intima-uomo-mk3-v-neck/,maglia intima manica corta energizer 4.0 light,maglia,maglia,x-bionic,no,"Goditi il tuo sport più intensamente che mai con le tecnologie brevettate la X-BIONICENERGIZER 4.0 LT SHIRT V NECK SHIRT da uomo è un indumento intimo estremamente leggero con collo a V. Questa maglia massimizza leffetto di raffreddamento del sudore per allungare la resistenza e aumentare le prestazioni atletiche., Puoi sentirlo immediatamente sulla tua pelle. ThermoSyphonÂ®,  la prossima generazione del leggendario sistema 3D Bionic SphereÂ®,  lavora sul petto e sulla schiena,  dove il tuo corpo può utilizzare in modo più efficace leffetto di raffreddamento. Le complesse strutture tridimensionali a forma di Y del sistema creano una rete stabile di canali per un intenso scambio daria. Si raffredda quando si suda e ti riscalda quando hai freddo. Gli effetti termodinamici migliorano la gestione del clima della pelle., Ciò si ottiene attraverso linterazione tra numerose tecnologie Sweat TrapsÂ®,  Air-Conditioning ChannelÂ®,  AirComPlex-Zone allo sterno e Air Guides ottimizzati per la ventilazione. Su misura più in alto nella zona posteriore,  la cintura Ideo-Waist ergonomicamente ottimizzata mantiene la camicia in posizione anche durante lattività\ continua., Come tutti i prodotti della generazione 4.0 di X-BIONIC,  questa maglia è realizzata con tecnologia Retinaad altissima risoluzione. Beneficiate di densità\ altamente efficace,  trasmissione funzionale intensiva e separazione precisa delle zone funzionali., UTILIZZO, Trekking, UTILIZZO, Running, UTILIZZO, Fitness, UTILIZZO, Ciclismo, UTILIZZO, Alpinismo, TIPOLOGIA, Maglie manica corta, TIPOLOGIA, Abbigliamento, TIPOLOGIA, T-shirt, TIPOLOGIA, Intimo, CF 88-NGYT01S19M",uomo,nero,no,63.92,img_img98358290.jpg,gare,si,,no,si
decathlon,8555154,https://www.decathlon.it/scarpe-donna-kiprun-kd-light-id_8555154.html,scarpe running donna kiprun kd light azzurro-corallo,scarpe,running,kiprun,no,"le nostre equipe di ideazione hanno sviluppato queste scarpe da donna leggere e reattive per tutte le tue uscite di running, fino alla maratona!vuoi aggiungere più slancio ad ogni falcata? dinamiche e leggere, le kiprun kd light ti offrono sempre più slancio per progredire e migliorare i tuoi tempi, fino alla maratona!i vantaggi
ammortizzamento
ammortizzamento per 800 km grazie alla suola kalensole.
rilancio
la falcata è più dinamica grazie al concetto up'bar e alla suola kalensole.
leggerezza
falcata più leggera grazie ai componenti alleggeriti: 215g il 39.
aderenza
più aderenza su suolo umido grazie alla struttura e alla geometria della suola.informazioni tecniche
perchãƒâ€° scegliere delle scarpe per il running leggere?
gli studi di ricerca e sviluppo hanno dimostrato che un prodotto più leggero permette di migliorare le performance di running grazie al risparmio di energia.
per ideare le kd light non è stato fatto nessun compromesso sul comfort e sulla durata, sono stati invece scelti dei componenti più leggeri ed è stata ottimizzata l'ideazione della suola.
risultato: le scarpe kiprun kd light sono più leggere dell'8% rispetto alle kiprun fast.
peso: 215g il 39.
l'importanza dell'ammortizzamento
per correre a lungo con massimo comfort e performance, abbiamo posto particolare attenzione alla suola. la schiuma esclusiva kalensole, in eva, sviluppata con le nostre equipe r&d per rispondere alle esigenze dei runner e garantita per una durata di 800 chilometri, permette di migliorare l'ammortizzamento del 34%, il ritorno di energia +25% rispetto ad una schiuma tradizionale.
piãƒ™  rimbalzo ad ogni falcata
per permetterti di progredire e migliorare i tuoi tempi, dalla 10 km alla maratona, le kiprun kd light favoriscono il dinamismo (lo slancio)ad ogni falcata grazie al concetto up'bar, un inserto in tpe (pebaxC°®) posizionato sotto la suola.










vedi altri",donna,multicolor,si,90.39,img_8555154.jpg,,si,,no,si
sportler,10840925,https://www.sportler.com/it/p/under-armour-fly-fast-pantaloni-3-4-running-donna-10840925?filterFarbe=Black,Fly Fast - pantaloni 3/4 running - donna,pantaloni,pantaloni lunghi,under armour,si,"Pantaloni 3/4 running da donna Fly Fast Capri di Under Armour in tessuto a compressione per un supporto muscolare efficace durante le sessioni di corsa più impegnative, leggeri e traspiranti.
tessuto HeatGear® leggerissimo e a rapida asciugatura
pannelli in mesh altamente traspiranti
vita elastica con laccetto interno
tasca sul retro integrata
lunghezza gamba 3/4 (cucitura interna 45 cm)
elementi riflettenti
vestibilità Compression Fit",donna,nero,no,55,img_10840925.jpg,,no,,no,no
sportler,10751142,https://www.sportler.com/it/p/odlo-active-f-dry-light-top-tecnico-uomo-10751142?filterFarbe=Black,Active F-Dry Light - top tecnico - uomo,maglia,maglia,odlo,no,"Top tecnico da uomo Active F-Dry Light Top di Odlo perfetto come primo strato, con efficace gestione dell'umidità e dona una sensazione di freschezza allontanando il sudore dalla pelle.
in fibra funzionale «Effect by Odlo» antiodore e antibatterica
asciugatura rapida grazie al push-pull-effect
protezione UV40+
girocollo
giromanica confortevoli
vestibilità Regular Fit",uomo,nero,no,35,img_10751142.jpg,,si,,no,si
sportler,10782487,https://www.sportler.com/it/p/new-balance-880v9-scarpe-running-neutre-uomo-10782487?filterFarbe=Black%2FGrey,880v9 - scarpe running neutre - uomo,scarpe,scarpe,new balance,si,"Scarpe running neutre da uomo 880v9 di New Balance per i tuoi allenamenti quotidiani, tecnica e ammortizzante, offre una spinta continua e una reattività perfetta, contemporaneamente ad una calzata confortevole per sessioni di corsa di lunga durata.
tecnologia TruFuse con intersuola a doppia schiuma ammortizzante, reattiva e durevole
tomaia in tessuto sintetico misto mesh
materiali privi di cuciture
avampiede in gomma soffiata
suola in gomma dall'ottimo grip
drop 10 mm
calzata regolare",uomo,nero,no,84,img_10782487.jpg,,si,,no,si
sportler,10756204,https://www.sportler.com/it/p/x-bionic-energizer-mk3-lt-maglietta-tecnica-donna-10756204?filterFarbe=Black,Energizer MK3 Lt - maglietta tecnica - donna,maglia,maglia,x-bionic,no,"Maglietta tecnica da donna Energizer MK3 Lt Round Neck Short Sleeve di X-Bionic funzionale e versatile, uno strato base che gestisce ottimamente l'umidità e offre una sensazione di asciutto duratura.
struttura del tessuto THERMOSYPHON per un'ottimale gestione dell'umidità
canali di areazione AIR-CONDITIONING CHANNELS estremamente efficaci
SWEATTRAPS strategicamente posizionati assorbono l'umidità
AIRCOMPLEX ZONE per un'isolazione efficace
KIDNEY RIBS nella zona dei reni sensibili alla temperatura
girocollo
maniche raglan per una mobilità ottimale
taglio più lungo sul retro protettivo
vestibilità Slim Fit",donna,nero,no,55.3,img_10756204.jpg,,si,,no,si
nencini,357466,https://www.nencinisport.it/it/nike-sphr-element-top-hz-30.html,Nike Sphr Element Top Hz 3.0,maglia,maglia,nike,si,"PERSONALIZZA IL CALORE FINO ALLE MANI.
Assicurati una copertura leggera e traspirante con la maglia Nike Therma Sphere 3.0. Le muffole integrate offrono una copertura opzionale per le mani, mentre il morbido tessuto avvolge il collo proteggendolo dal freddo.

CALORE PER IL COLLO E PER LE MANI





CONTINUA A LEGGERE",uomo,nero,no,45.6,img_357466.jpg,,no,,no,no
nencini,387429,https://www.nencinisport.it/it/booster-visiera-387429.html,Booster Visiera,altro,cappello,booster,no,"La visiera evo BV SPORT bianco è stata progettata specificamente per gli sport all'aperto. 
Leggera, traspirante e confortevole, si distingue soprattutto per l'ampia visiera che protegge adeguatamente gli occhi e il viso dai raggi UV o dalla luce eccessiva. 
Il tessuto interno sulla fronte assorbe il sudore e quindi evita qualsiasi disagio durante l'allenamento e le competizioni. 
Mentre la parte posteriore elastica permette di avere una visiera che si adatta sempre bene, si adatta a tutti i tipi di testa e garantisce una vestibilità ottimale durante le sessioni sportive. 
Questa visiera leggera e ventilata è l'accessorio indispensabile da abbinare ai tuoi outfit sportivi per le tue sessioni di trail, running, hiking, ciclismo, outdoor fitness.
100% poliestere.
  RIDUCI",uomo,rosso,si,24,img_387429.jpg,,no,,no,no
sportler,10705246,https://www.sportler.com/it/p/buff-original-afgan-graphite-scaldacollo-10705246?filterFarbe=Black,Original Afgan Graphite - scaldacollo,altro,scaldacollo,buff,no,"Scaldacollo Original Afgan Graphite di Buff realizzato in materale riciclato al 100%, pensato per attività outdoor della stagione fredda, con costruzione confortevole priva di cuciture e tessuto elastico piacevole da indossare sulla pelle.
tessuto elastico a 4 direzioni estremamente traspirante e a rapida asciugatura
finitura Polygiene® anti-batterica che neutralizza gli odori
protezione solare UPF 50+
costruzione priva di cuciture
misure ca. 53 x 22 cm
uso versatile
vestibilità Athletic Fit",unisex,nero,no,19.95,img_10705246.jpg,,si,,si,si
df sport specialist,98374332,https://www.df-sportspecialist.it/nike-scarpe-zoom-pegasus-36--print-w/,scarpe zoom pegasus 36 print w,scarpe,scarpe,nike,si,"Traspirabilità e ispirazione si uniscono nella scarpa Nike Air Zoom Pegasus 36 Premium. Grafica intessuta che si ripete lungo la tomaia in mesh traforata con la scritta """"Just Do It."""". Sono strategicamente posizionate nelle aree in cui il piede rilascia maggior calore., ""Tomaia traforata per la massima traspirabilità nellavampiede e sullarco."", Lo Zoom Air a tutta lunghezza assicura un movimento fluido e reattivo., ""Il design più sottile riduce lingombro per un fit confortevole e adattabile."", Cavi Flywire esposti nella zona mediale per una calzata confortevole nei movimenti più veloci., ""Il collare si assottiglia intorno al tendine dAchille."", ""Schiuma Cushlon ST per unammortizzazione morbida e reattiva."", ""Le colonne Waffle nella suola assorbono limpatto e assicurano la massima trazione multisuperficie."", La grafica intessuta con la scritta """"Just Do It."""" nella tomaia traforata è esclusiva a questa edizione., Il design sdoppiato incrocia uno Swoosh sfocato con uno Swoosh dai contorni iridescenti.Drop 9-12 mm, Peso dcirca 220 grammi, UTILIZZO:, Running, UTILIZZO:, Asfalto, TIPOLOGIA:, Neutre, TIPOLOGIA:, Performance, CF: AV6259-800""",donna,rosa,si,79.9,img_img98374332.jpg,,no,,no,no
sportler,10598890,https://www.sportler.com/it/p/buff-trucker-cappellino-trekking-uomo-10598890?filterFarbe=Light+Blue,Trucker - cappellino trekking - uomo,altro,cappellino,buff,no,"Cappellino alla moda Tucker Caps di Buff colorato e fresco, con speciale stampa. La fascia traspirante all'interno e gli inserti in mesh aumentano la traspirazione.
materiale traspirante e leggero
mesh sul retro
fascia interna
regolabile sul retro
vestibilità Athletic Fit",uomo,azzurro,si,24.95,img_10598890.jpg,,si,,no,si
df sport specialist,98377288,https://www.df-sportspecialist.it/pro-touch-guanti-maddoc-touch-screen-run-280854-902/,guanti maddoc touch screen run,altro,guanti,pro touch,no,"Leggeri,  traspiranti e con un buon calore nelle giornate fredde., Dotati di dettagli riflettenti per la visibilità\ al buio., Tecnologia touch screen per luso di smartphone., UTILIZZO, Running, TIPOLOGIA, Guanti 5 dita, TIPOLOGIA, Guanti e manicotti, CF 280854-902",uomo,nero,no,16.95,img_img98377288.jpg,,no,,no,no
df sport specialist,98388323,https://www.df-sportspecialist.it/under-armour-scarpe-hovr-infinite-2/,scarpe uomo hovr infinite 2,scarpe,scarpe,under armour,si,"Scarpe da corsa UA HOVR™  Infinite 2 da uomo NEUTRE: per chi cerca un giusto equilibrio tra flessibilità, "" ammortizzazione e versatilità. La tecnologia UA HOVR™  fornisce una sensazione di assenza di gravità che favorisce il ritorno di energia"", "" riducendo limpatto sul terreno a ogni passo. La rete di compressione Energy Web contiene la schiuma UA HOVR™  che si modella e restituisce tutta lenergia delle tue falcate. La tomaia in mesh strutturata"",  estremamente leggera e traspirante, "" fornisce un eccellente sostegno nei punti strategici. Il contrafforte esterno offre un sostegno aggiuntivo che agevola la massima stabilità della parte posteriore del piede. Lintersuola in EVA fustellata su tutta la lunghezza si adatta alla forma del piede in modo da prevenire slittamenti per un comfort ottimale della pianta del piede. Le profonde scanalature flessibili posizionate anatomicamente offrono la giusta flessibilità nei punti essenziali. La robusta suola in gomma e i cuscinetti in gomma al carbonio sotto il tallone garantiscono maggiore aderenza e durata nelle zone ad alto impatto Differenziale: 8 mm"", UTILIZZO:, Running, TIPOLOGIA:, Scarpe, UTILIZZO:, Asfalto, TIPOLOGIA:, Neutre, TIPOLOGIA:, Calzature, CF: 3022587-401""",uomo,blu,no,84,img_img98388323.jpg,,si,,no,si
sportler,10838977,https://www.sportler.com/it/p/salomon-sonic-3-balance-scarpe-running-neutre-uomo-10838977?filterFarbe=Black%2FWhite,Sonic 3 Balance - scarpe running neutre - uomo,scarpe,scarpe,salomon,no,"Scarpe running neutre da uomo Sonic 3 Balance di Salomon atte alla performance, molto leggere e versatili, dal design essenziale, si adattano al piede come un guanto per una sensazione di comfort assoluto per chilometri e chilometri.
tecnologia Optivibe riduce le vibrazioni per diminuire l'affaticamento muscolare
asse del Geometric Decoupling™ offre una transizione in avanti senza sforzo
struttura SensiFit™ specifica per la strada si adatta al piede come un guanto
linguetta OrthoLite® Impressions
soletta OrthoLite® sagomata
allacciatura classica
calzata Regular Fit",uomo,nero,no,98,img_10838977.jpg,,si,,no,si
nencini,434284,https://www.nencinisport.it/it/brooks-adrenalin-gts-20-434284.html,Brooks Adrenalin Gts 20,scarpe,scarpe,brooks,si,"Le nostre scarpe di riferimento sono arrivate a 20, e non danno cenni di rallentamento. Il nuovo supporto integrato GuideRails® è più fluido che mai, mentre la giusta ammortizzazione ammorbidisce ogni passo.

Ammortizzazione soffice ed equilibrata
Le ammortizzazioni BioMoGO e DNA LOFT operano in sinergia per creare la giusta morbidezza alla pianta del piede senza perdere reattività e durabilità.




CONTINUA A LEGGERE",uomo,blu,no,126,img_434284.jpg,,si,,no,si
df sport specialist,98241833,https://www.df-sportspecialist.it/sport-specialist-calza-compression-alta-visibilita/,calza compression alta visibilita,altro,calzini,sport specialist,no,"La linea di accessori Sport Specialist è stata pensata per chi pretende performance e comfort durante l'attività sportiva. L'utilizzo dei migliori filati e l'attenta lavorazione degli stessi sono alla base di ogni singolo modello realizzato per soddisfare le esigenze dei veri sportivi., Queste calze con dettagli rifrangenti utili nelle ore più scure sono perfette per il running., UTILIZZO, Running, TIPOLOGIA, Calze, TIPOLOGIA, Abbigliamento, SPORT, Running, TIPOLOGIA, Calze e gambali, CF COMPRESSION",uomo,nero,no,14.99,img_img98241833.jpg,,no,,no,no
